lead_id,user_id,course_id,lead_date,lead_status
1,1502,1,2026-04-14,new
2,2587,1,2026-02-02,qualified
3,2654,3,2026-01-21,lost
4,1056,4,2026-03-13,new
5,706,1,2026-02-17,lost
6,107,3,2026-03-06,contacted
7,590,5,2026-04-07,lost
8,2469,5,2026-03-13,qualified
9,2414,6,2026-03-19,new
10,1601,2,2026-01-29,qualified
11,2465,2,2026-04-09,contacted
12,229,4,2026-03-12,contacted
13,916,3,2026-01-06,lost
14,795,1,2026-04-03,new
15,3022,2,2026-02-22,contacted
16,3544,2,2026-03-15,new
17,1074,2,2026-01-30,new
18,3352,2,2026-03-17,contacted
19,1745,2,2026-04-13,new
20,1085,1,2026-01-31,qualified
21,927,4,2026-04-03,new
22,3050,3,2026-01-22,lost
23,1118,4,2026-02-27,new
24,643,1,2026-01-05,new
25,4768,2,2026-03-06,contacted
26,502,4,2026-01-07,converted
27,4067,3,2026-03-13,lost
28,334,3,2026-02-14,lost
29,4685,2,2026-02-10,new
30,487,6,2026-02-24,lost
31,1963,2,2026-01-19,new
32,394,3,2026-01-12,contacted
33,4843,4,2026-02-11,lost
34,4867,3,2026-03-28,contacted
35,1756,2,2026-03-01,converted
36,2516,3,2026-02-20,new
37,3586,5,2026-04-04,converted
38,4316,2,2026-01-14,lost
39,4967,1,2026-03-23,qualified
40,2100,2,2026-02-22,new
41,3600,5,2026-02-14,contacted
42,4122,1,2026-03-28,converted
43,30,6,2026-02-03,contacted
44,66,3,2026-01-09,lost
45,839,6,2026-04-09,converted
46,3907,6,2026-03-16,contacted
47,3774,3,2026-03-28,qualified
48,4636,1,2026-02-04,lost
49,3162,1,2026-02-25,new
50,2660,2,2026-04-02,new
51,4616,4,2026-04-12,qualified
52,4629,2,2026-01-27,contacted
53,2452,2,2026-02-21,lost
54,2847,3,2026-02-13,new
55,1145,6,2026-01-10,converted
56,3079,1,2026-02-11,new
57,1104,1,2026-02-14,lost
58,169,1,2026-04-14,qualified
59,1671,6,2026-01-31,new
60,2571,4,2026-03-20,new
61,2378,2,2026-03-14,lost
62,4396,1,2026-03-02,converted
63,4258,2,2026-01-21,contacted
64,3863,1,2026-03-16,qualified
65,24,6,2026-04-05,contacted
66,2634,5,2026-02-20,new
67,3341,3,2026-03-24,lost
68,2216,5,2026-01-17,lost
69,3683,2,2026-01-15,contacted
70,4725,4,2026-04-04,converted
71,1908,5,2026-03-31,new
72,85,2,2026-04-06,lost
73,228,4,2026-01-28,qualified
74,297,2,2026-04-07,qualified
75,1002,2,2026-03-18,qualified
76,2139,1,2026-01-08,contacted
77,712,3,2026-02-19,lost
78,2802,4,2026-01-22,lost
79,2528,6,2026-02-16,contacted
80,3753,4,2026-03-25,lost
81,3322,5,2026-02-06,contacted
