lesson_id,user_id,course_id,lesson_date,lesson_type,attendance_status
1,502,4,2026-01-13,webinar,cancelled
2,502,4,2026-01-20,practice,attended
3,502,4,2026-01-27,webinar,attended
4,502,4,2026-02-03,webinar,missed
5,502,4,2026-02-10,practice,attended
6,502,4,2026-02-17,webinar,cancelled
7,502,4,2026-02-24,homework_review,attended
8,502,4,2026-03-03,webinar,attended
9,502,4,2026-03-10,webinar,attended
10,502,4,2026-03-17,webinar,attended
11,502,4,2026-03-24,practice,attended
12,502,4,2026-03-31,webinar,attended
13,1756,2,2026-03-04,practice,missed
14,1756,2,2026-03-11,webinar,attended
15,1756,2,2026-03-18,practice,attended
16,1756,2,2026-03-25,practice,attended
17,1756,2,2026-04-01,webinar,missed
18,1756,2,2026-04-08,consultation,missed
19,3586,5,2026-04-08,webinar,attended
20,3586,5,2026-04-15,practice,attended
21,3586,5,2026-04-22,webinar,attended
22,3586,5,2026-04-29,webinar,missed
23,3586,5,2026-05-06,webinar,attended
24,3586,5,2026-05-13,webinar,attended
25,3586,5,2026-05-20,practice,attended
26,4122,1,2026-04-03,consultation,attended
27,4122,1,2026-04-10,homework_review,missed
28,4122,1,2026-04-17,practice,missed
29,4122,1,2026-04-24,webinar,attended
30,4122,1,2026-05-01,webinar,attended
31,4122,1,2026-05-08,webinar,attended
32,4122,1,2026-05-15,homework_review,attended
33,4122,1,2026-05-22,webinar,attended
34,839,6,2026-04-11,webinar,missed
35,839,6,2026-04-18,webinar,cancelled
36,839,6,2026-04-25,homework_review,attended
37,839,6,2026-05-02,webinar,missed
38,839,6,2026-05-09,practice,attended
39,839,6,2026-05-16,homework_review,attended
40,839,6,2026-05-23,webinar,attended
41,839,6,2026-05-30,homework_review,attended
42,4396,1,2026-03-06,webinar,attended
43,4396,1,2026-03-13,webinar,attended
44,4396,1,2026-03-20,practice,attended
45,4396,1,2026-03-27,homework_review,attended
46,4396,1,2026-04-03,webinar,attended
47,4396,1,2026-04-10,homework_review,attended
48,4396,1,2026-04-17,homework_review,attended
49,4396,1,2026-04-24,practice,attended
50,4725,4,2026-04-08,webinar,attended
51,4725,4,2026-04-15,webinar,attended
52,4725,4,2026-04-22,webinar,attended
