user_id,registration_date,country,city,age,traffic_source,device,is_active
1,2026-02-21,Russia,Novosibirsk,32,search,mobile,0
2,2026-01-15,Russia,Rostov-on-Don,36,email,mobile,1
3,2026-03-13,Kazakhstan,Shymkent,22,search,desktop,0
4,2026-03-02,Russia,Rostov-on-Don,36,referral,mobile,1
5,2026-01-21,Russia,Rostov-on-Don,22,search,desktop,1
6,2026-03-24,Russia,Kazan,29,search,mobile,1
7,2026-03-28,Russia,Moscow,36,search,desktop,0
8,2026-03-16,Russia,Rostov-on-Don,29,social_media,desktop,1
9,2026-03-16,Russia,Saint Petersburg,53,search,mobile,1
10,2026-03-29,Russia,Novosibirsk,29,ads,tablet,1
11,2026-01-24,Russia,Saint Petersburg,35,ads,desktop,1
12,2026-01-03,Russia,Novosibirsk,51,social_media,desktop,1
13,2026-01-22,Russia,Kazan,50,search,desktop,1
14,2026-02-22,Kazakhstan,Shymkent,35,ads,mobile,1
15,2026-01-02,Russia,Rostov-on-Don,46,search,mobile,0
16,2026-03-29,Russia,Moscow,22,search,mobile,0
17,2026-01-30,Russia,Rostov-on-Don,42,email,mobile,1
18,2026-02-07,Kazakhstan,Shymkent,41,ads,mobile,1
19,2026-01-02,Russia,Moscow,46,ads,desktop,1
20,2026-03-05,Russia,Rostov-on-Don,55,email,mobile,1
21,2026-03-01,Kazakhstan,Almaty,50,social_media,tablet,1
22,2026-01-21,Belarus,Brest,27,ads,mobile,1
23,2026-02-02,Russia,Kazan,54,email,mobile,0
24,2026-03-17,Russia,Rostov-on-Don,50,search,mobile,0
25,2026-02-27,Kazakhstan,Astana,40,search,mobile,1
26,2026-01-22,Armenia,Yerevan,28,referral,tablet,1
27,2026-03-30,Belarus,Minsk,41,referral,desktop,0
28,2026-02-18,Russia,Kazan,41,search,mobile,0
29,2026-02-28,Russia,Moscow,24,ads,tablet,1
30,2026-02-11,Russia,Novosibirsk,38,ads,desktop,1
31,2026-03-01,Kazakhstan,Almaty,37,ads,mobile,1
32,2026-03-21,Russia,Novosibirsk,27,ads,desktop,1
33,2026-01-15,Russia,Saint Petersburg,42,search,desktop,1
34,2026-03-03,Kazakhstan,Astana,53,referral,mobile,0
35,2026-03-03,Russia,Kazan,32,email,desktop,1
36,2026-02-16,Belarus,Gomel,23,search,mobile,1
37,2026-03-03,Russia,Rostov-on-Don,54,search,mobile,1
38,2026-02-20,Russia,Kazan,19,ads,mobile,1
39,2026-02-24,Russia,Rostov-on-Don,29,ads,tablet,0
40,2026-03-05,Kazakhstan,Astana,21,ads,desktop,1
41,2026-01-03,Russia,Novosibirsk,40,social_media,mobile,0
42,2026-02-20,Russia,Rostov-on-Don,30,ads,mobile,1
43,2026-01-07,Armenia,Yerevan,34,email,mobile,1
44,2026-01-21,Russia,Novosibirsk,48,social_media,desktop,1
45,2026-03-14,Russia,Novosibirsk,33,ads,mobile,1
46,2026-02-08,Russia,Saint Petersburg,43,ads,desktop,1
47,2026-01-18,Russia,Saint Petersburg,45,social_media,tablet,0
48,2026-01-04,Russia,Kazan,18,referral,desktop,1
49,2026-03-30,Russia,Kazan,29,social_media,mobile,1
50,2026-03-01,Russia,Moscow,54,ads,mobile,1
51,2026-01-14,Russia,Novosibirsk,37,search,mobile,1
52,2026-01-09,Russia,Moscow,19,ads,desktop,1
53,2026-03-31,Russia,Moscow,53,referral,desktop,0
54,2026-02-22,Russia,Saint Petersburg,32,social_media,mobile,1
55,2026-01-02,Russia,Moscow,55,social_media,mobile,0
56,2026-03-25,Russia,Moscow,39,search,desktop,1
57,2026-03-01,Russia,Rostov-on-Don,49,social_media,mobile,1
58,2026-03-12,Russia,Kazan,37,ads,mobile,1
59,2026-02-13,Kazakhstan,Shymkent,53,ads,desktop,1
60,2026-01-08,Russia,Novosibirsk,50,search,mobile,1
61,2026-02-16,Belarus,Brest,32,referral,desktop,1
62,2026-02-04,Armenia,Gyumri,20,social_media,desktop,1
63,2026-03-19,Russia,Novosibirsk,46,ads,desktop,1
64,2026-03-22,Russia,Rostov-on-Don,44,email,mobile,1
65,2026-02-05,Russia,Kazan,22,ads,mobile,1
66,2026-02-19,Kazakhstan,Almaty,48,ads,mobile,1
67,2026-01-04,Russia,Kazan,39,ads,mobile,0
68,2026-01-02,Russia,Kazan,52,search,tablet,1
69,2026-01-06,Russia,Rostov-on-Don,24,search,desktop,1
70,2026-02-23,Kazakhstan,Almaty,23,search,mobile,1
71,2026-01-04,Kazakhstan,Almaty,43,social_media,tablet,1
72,2026-02-23,Russia,Moscow,18,ads,desktop,1
73,2026-03-04,Russia,Moscow,36,social_media,mobile,0
74,2026-01-18,Russia,Kazan,24,ads,mobile,1
75,2026-03-31,Russia,Saint Petersburg,53,social_media,mobile,1
76,2026-02-13,Belarus,Minsk,29,social_media,tablet,1
77,2026-02-03,Russia,Saint Petersburg,37,social_media,mobile,1
78,2026-03-15,Russia,Saint Petersburg,40,search,desktop,1
79,2026-03-03,Russia,Novosibirsk,42,social_media,mobile,1
80,2026-01-14,Belarus,Minsk,47,ads,desktop,1
81,2026-02-17,Kazakhstan,Astana,46,email,mobile,1
82,2026-01-15,Russia,Kazan,48,ads,tablet,1
83,2026-03-13,Kazakhstan,Almaty,35,ads,tablet,1
84,2026-03-19,Russia,Moscow,36,search,mobile,1
85,2026-03-28,Russia,Saint Petersburg,21,social_media,desktop,1
86,2026-03-03,Russia,Novosibirsk,18,ads,desktop,1
87,2026-02-09,Russia,Moscow,32,referral,tablet,1
88,2026-03-26,Russia,Rostov-on-Don,25,referral,mobile,1
89,2026-03-21,Belarus,Minsk,32,social_media,mobile,1
90,2026-03-23,Russia,Moscow,32,search,desktop,1
91,2026-02-22,Russia,Saint Petersburg,39,social_media,desktop,1
92,2026-01-24,Russia,Saint Petersburg,35,ads,mobile,0
93,2026-01-26,Russia,Kazan,33,search,desktop,1
94,2026-03-30,Belarus,Gomel,19,referral,mobile,1
95,2026-03-01,Russia,Novosibirsk,53,referral,desktop,1
96,2026-02-10,Russia,Saint Petersburg,37,referral,mobile,1
97,2026-01-29,Kazakhstan,Shymkent,33,ads,mobile,1
98,2026-01-15,Russia,Rostov-on-Don,20,ads,mobile,1
99,2026-02-14,Russia,Rostov-on-Don,47,ads,mobile,1
100,2026-03-06,Russia,Rostov-on-Don,19,search,mobile,1
101,2026-03-30,Russia,Moscow,52,ads,mobile,0
102,2026-03-12,Armenia,Vanadzor,43,search,mobile,0
103,2026-01-09,Kazakhstan,Almaty,22,social_media,mobile,1
104,2026-03-29,Russia,Kazan,19,social_media,desktop,1
105,2026-01-01,Kazakhstan,Shymkent,37,social_media,mobile,1
106,2026-01-08,Russia,Saint Petersburg,51,email,mobile,1
107,2026-03-29,Russia,Novosibirsk,51,ads,desktop,1
108,2026-03-04,Russia,Novosibirsk,37,ads,tablet,1
109,2026-01-11,Russia,Saint Petersburg,42,social_media,desktop,1
110,2026-03-22,Russia,Rostov-on-Don,37,search,mobile,0
111,2026-01-08,Russia,Moscow,42,search,desktop,1
112,2026-02-04,Belarus,Gomel,31,ads,tablet,1
113,2026-02-04,Russia,Kazan,29,ads,mobile,1
114,2026-02-02,Russia,Saint Petersburg,22,social_media,tablet,1
115,2026-01-05,Russia,Rostov-on-Don,19,email,mobile,1
116,2026-02-10,Russia,Moscow,33,referral,mobile,1
117,2026-01-28,Russia,Rostov-on-Don,47,search,mobile,0
118,2026-01-07,Russia,Kazan,55,search,desktop,1
119,2026-03-14,Kazakhstan,Shymkent,41,email,mobile,1
120,2026-03-13,Russia,Kazan,47,search,mobile,1
121,2026-01-12,Russia,Kazan,54,search,mobile,1
122,2026-02-03,Russia,Saint Petersburg,28,referral,mobile,1
123,2026-02-02,Russia,Kazan,31,social_media,mobile,1
124,2026-02-17,Russia,Kazan,40,referral,mobile,1
125,2026-01-23,Kazakhstan,Shymkent,33,ads,mobile,1
126,2026-03-03,Russia,Saint Petersburg,38,search,tablet,1
127,2026-03-29,Russia,Kazan,21,email,mobile,1
128,2026-02-06,Russia,Rostov-on-Don,50,ads,mobile,0
129,2026-02-13,Russia,Rostov-on-Don,31,social_media,mobile,1
130,2026-03-27,Russia,Novosibirsk,36,ads,mobile,1
131,2026-02-04,Kazakhstan,Almaty,22,email,mobile,1
132,2026-03-06,Russia,Moscow,53,social_media,mobile,1
133,2026-02-16,Kazakhstan,Almaty,48,ads,desktop,1
